EXTRACTING STARTED at:05:00:02
Current time:05:00:06 users_left:999 current_user:1198830542
Current time:05:00:06 users_left:998 current_user:123529450
Current time:05:00:06 users_left:997 current_user:257396433
Current time:05:00:06 users_left:996 current_user:1215057884
Current time:05:00:06 users_left:995 current_user:1379605124
Current time:05:00:06 users_left:994 current_user:1652784522
Current time:05:00:06 users_left:993 current_user:972693067
Current time:05:00:06 users_left:992 current_user:195700244
Current time:05:00:06 users_left:991 current_user:100566940
Current time:05:00:06 users_left:990 current_user:586886825
Current time:05:00:06 users_left:989 current_user:1715806196
Current time:05:00:06 users_left:988 current_user:173792315
Current time:05:00:07 users_left:987 current_user:47168361
Current time:05:00:07 users_left:986 current_user:82845845
Current time:05:00:07 users_left:985 current_user:360815223
Current time:05:00:07 users_left:984 current_user:1860657841
Current time:05:00:07 users_left:983 current_user:836072653
Current time:05:00:07 users_left:982 current_user:130537538
Current time:05:00:07 users_left:981 current_user:1675214208
Current time:05:00:07 users_left:980 current_user:857692574
Current time:05:00:07 users_left:979 current_user:421956171
Current time:05:00:07 users_left:978 current_user:451517733
Current time:05:00:07 users_left:977 current_user:1004828521
Current time:05:00:07 users_left:976 current_user:77046192
Current time:05:00:07 users_left:975 current_user:2235330103
Current time:05:00:08 users_left:974 current_user:1089205285
Current time:05:00:08 users_left:973 current_user:745250557
Current time:05:00:08 users_left:972 current_user:548820091
Current time:05:00:08 users_left:971 current_user:441531413
Current time:05:00:08 users_left:970 current_user:2217159998
Current time:05:00:08 users_left:969 current_user:315031147
Current time:05:00:08 users_left:968 current_user:2187549079
Current time:05:00:08 users_left:967 current_user:1163484660
Current time:05:00:08 users_left:966 current_user:879899010
Current time:05:00:08 users_left:965 current_user:2230448132
Current time:05:00:08 users_left:964 current_user:298731943
Current time:05:00:08 users_left:963 current_user:720100866
Current time:05:00:08 users_left:962 current_user:505761529
Current time:05:00:08 users_left:961 current_user:949316714
Current time:05:00:08 users_left:960 current_user:1243292809
Current time:05:00:08 users_left:959 current_user:459627803
Current time:05:00:08 users_left:958 current_user:2196106466
Current time:05:00:08 users_left:957 current_user:1113970418
Current time:05:00:08 users_left:956 current_user:17017764
Current time:05:00:08 users_left:955 current_user:1527607669
Current time:05:00:08 users_left:954 current_user:1262881236
Current time:05:00:08 users_left:953 current_user:409646420
Current time:05:00:09 users_left:952 current_user:416903803
Current time:05:00:09 users_left:951 current_user:2163811375
Current time:05:00:09 users_left:950 current_user:506680086
Current time:05:00:09 users_left:949 current_user:64871210
Current time:05:00:09 users_left:948 current_user:1236840026
Current time:05:00:09 users_left:947 current_user:16390221
Current time:05:00:09 users_left:946 current_user:1629238814
Current time:05:00:09 users_left:945 current_user:390730338
Current time:05:00:09 users_left:944 current_user:262303740
Current time:05:00:09 users_left:943 current_user:326224634
Current time:05:00:09 users_left:942 current_user:396933067
Current time:05:00:09 users_left:941 current_user:187503621
Current time:05:00:09 users_left:940 current_user:47337882
Current time:05:00:09 users_left:939 current_user:269871757
Current time:05:00:10 users_left:938 current_user:1166526613
Current time:05:00:10 users_left:937 current_user:148353068
Current time:05:00:10 users_left:936 current_user:109810061
Current time:05:00:10 users_left:935 current_user:343164432
Current time:05:00:10 users_left:934 current_user:2157771607
Current time:05:00:10 users_left:933 current_user:131875725
Current time:05:00:10 users_left:932 current_user:1292027161
Current time:05:00:10 users_left:931 current_user:2223295518
Current time:05:00:10 users_left:930 current_user:99610788
Current time:05:00:10 users_left:929 current_user:844453400
Current time:05:00:10 users_left:928 current_user:178295617
Current time:05:00:10 users_left:927 current_user:1873069267
Current time:05:00:10 users_left:926 current_user:122761723
Current time:05:00:10 users_left:925 current_user:20623338
Current time:05:00:10 users_left:924 current_user:81659201
Current time:05:00:10 users_left:923 current_user:355563146
Current time:05:00:10 users_left:922 current_user:247179031
Current time:05:00:10 users_left:921 current_user:1703848716
Current time:05:00:10 users_left:920 current_user:1720222308
Current time:05:00:10 users_left:919 current_user:1369789717
SECONDS TO SLEEP: 905s
Time when to request again: 05:15:15
Current time:05:00:10 users_left:918 current_user:238485999
Current time:05:00:11 users_left:917 current_user:160566744
Current time:05:00:11 users_left:916 current_user:2194867652
Current time:05:00:11 users_left:915 current_user:1528678034
Current time:05:00:11 users_left:914 current_user:295132703
Current time:05:00:11 users_left:913 current_user:1163093916
Current time:05:00:11 users_left:912 current_user:1193812884
Current time:05:00:11 users_left:911 current_user:176722314
Current time:05:00:11 users_left:910 current_user:83469901
Current time:05:00:11 users_left:909 current_user:61134188
Current time:05:00:11 users_left:908 current_user:1442427084
Current time:05:00:11 users_left:907 current_user:43858622
Current time:05:00:11 users_left:906 current_user:1569998732
Current time:05:00:11 users_left:905 current_user:462076757
Current time:05:00:11 users_left:904 current_user:581751151
Current time:05:00:11 users_left:903 current_user:778856994
Current time:05:00:12 users_left:902 current_user:1226204203
Current time:05:00:12 users_left:901 current_user:60205259
Current time:05:00:12 users_left:900 current_user:53945855
Current time:05:00:12 users_left:899 current_user:1148447365
Current time:05:00:12 users_left:898 current_user:1135364252
Current time:05:00:12 users_left:897 current_user:524732318
Current time:05:00:12 users_left:896 current_user:204959457
Current time:05:00:12 users_left:895 current_user:92397056
Current time:05:00:12 users_left:894 current_user:1678078332
Current time:05:00:12 users_left:893 current_user:188767679
Current time:05:00:12 users_left:892 current_user:937792304
Current time:05:00:12 users_left:891 current_user:626418125
Current time:05:00:12 users_left:890 current_user:57744998
Current time:05:00:12 users_left:889 current_user:79299030
Current time:05:00:12 users_left:888 current_user:1924461800
Current time:05:00:12 users_left:887 current_user:514704899
Current time:05:00:12 users_left:886 current_user:1968972272
Current time:05:00:12 users_left:885 current_user:594740357
Current time:05:00:13 users_left:884 current_user:337690819
Current time:05:00:13 users_left:883 current_user:776256379
Current time:05:00:13 users_left:882 current_user:153518470
Current time:05:00:13 users_left:881 current_user:906283201
Current time:05:00:13 users_left:880 current_user:1245878658
Current time:05:00:13 users_left:879 current_user:342232811
Current time:05:00:13 users_left:878 current_user:1920452749
Current time:05:00:13 users_left:877 current_user:172916154
Current time:05:00:13 users_left:876 current_user:1731963282
Current time:05:00:13 users_left:875 current_user:460405896
Current time:05:00:13 users_left:874 current_user:496642623
Current time:05:00:13 users_left:873 current_user:227669298
Current time:05:00:13 users_left:872 current_user:1561150069
Current time:05:00:13 users_left:871 current_user:1609910233
Current time:05:00:13 users_left:870 current_user:1186898906
Current time:05:00:14 users_left:869 current_user:1928253085
Current time:05:00:14 users_left:868 current_user:474285638
Current time:05:00:14 users_left:867 current_user:203935141
Current time:05:00:14 users_left:866 current_user:800775822
Current time:05:00:14 users_left:865 current_user:1606241192
Current time:05:00:14 users_left:864 current_user:15196584
Current time:05:00:14 users_left:863 current_user:65870681
Current time:05:00:14 users_left:862 current_user:1594425276
Current time:05:00:14 users_left:861 current_user:1093152414
Current time:05:00:14 users_left:860 current_user:120750890
Current time:05:00:14 users_left:859 current_user:153894004
Current time:05:00:14 users_left:858 current_user:303265509
Current time:05:00:14 users_left:857 current_user:1541351184
Current time:05:00:14 users_left:856 current_user:43229189
Current time:05:00:14 users_left:855 current_user:2230244268
Current time:05:00:14 users_left:854 current_user:817202046
Current time:05:00:14 users_left:853 current_user:1675294093
Current time:05:00:15 users_left:852 current_user:422454303
Current time:05:00:15 users_left:851 current_user:69232035
Current time:05:00:15 users_left:850 current_user:523226896
Current time:05:00:15 users_left:849 current_user:562880142
Current time:05:00:15 users_left:848 current_user:128726418
Current time:05:00:15 users_left:847 current_user:270477982
Current time:05:00:15 users_left:846 current_user:328718349
Current time:05:00:15 users_left:845 current_user:2155310614
Current time:05:00:15 users_left:844 current_user:258316975
Current time:05:00:15 users_left:843 current_user:1680453786
Current time:05:00:15 users_left:842 current_user:179281703
Current time:05:00:15 users_left:841 current_user:2198435349
Current time:05:00:16 users_left:840 current_user:1374789799
Current time:05:00:16 users_left:839 current_user:2207840321
Current time:05:00:16 users_left:838 current_user:1685523252
Current time:05:00:16 users_left:837 current_user:222825943
Current time:05:00:16 users_left:836 current_user:17483098
Current time:05:00:16 users_left:835 current_user:1889760728
Current time:05:00:16 users_left:834 current_user:151662312
Current time:05:00:16 users_left:833 current_user:60285972
Current time:05:00:16 users_left:832 current_user:728892858
Current time:05:00:16 users_left:831 current_user:1101458132
Current time:05:00:16 users_left:830 current_user:947352006
Current time:05:00:16 users_left:829 current_user:601936332
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:10
Going to sleep for 895 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 895 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Current time:05:00:17 users_left:828 current_user:43935220
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:15:11
Current time:05:15:11 users_left:826 current_user:465625023
Current time:05:15:11 users_left:826 current_user:1571739451
Current time:05:15:11 users_left:825 current_user:1362195350
Current time:05:15:11 users_left:824 current_user:1466799703
Current time:05:15:11 users_left:823 current_user:1708846069
Current time:05:15:11 users_left:822 current_user:2192588948
Current time:05:15:11 users_left:821 current_user:1735454642
Current time:05:15:11 users_left:820 current_user:1082389844
Current time:05:15:12 users_left:819 current_user:1632385392
Current time:05:15:12 users_left:818 current_user:341315257
Current time:05:15:12 users_left:817 current_user:110697094
Current time:05:15:12 users_left:816 current_user:77725468
Current time:05:15:12 users_left:815 current_user:1206456948
Current time:05:15:12 users_left:814 current_user:621487867
Current time:05:15:12 users_left:813 current_user:2218328717
Current time:05:15:12 users_left:812 current_user:1692664555
Current time:05:15:12 users_left:811 current_user:349114633
Current time:05:15:12 users_left:810 current_user:123245932
Current time:05:15:12 users_left:809 current_user:120419798
Current time:05:15:12 users_left:808 current_user:320767833
Current time:05:15:13 users_left:807 current_user:2214781752
Current time:05:15:13 users_left:806 current_user:91963992
Current time:05:15:13 users_left:805 current_user:479069194
Current time:05:15:13 users_left:804 current_user:703647109
Current time:05:15:13 users_left:803 current_user:2164088383
Current time:05:15:13 users_left:802 current_user:2161379696
Current time:05:15:13 users_left:801 current_user:2222132827
Current time:05:15:13 users_left:800 current_user:624159065
Current time:05:15:13 users_left:799 current_user:589486151
Current time:05:15:13 users_left:798 current_user:2161532270
Current time:05:15:13 users_left:797 current_user:1050428714
Current time:05:15:13 users_left:796 current_user:103276249
Current time:05:15:13 users_left:795 current_user:884445908
Current time:05:15:13 users_left:794 current_user:2192151939
Current time:05:15:13 users_left:793 current_user:1349019054
Current time:05:15:13 users_left:792 current_user:507746030
Current time:05:15:13 users_left:791 current_user:1583115480
Current time:05:15:13 users_left:790 current_user:2232187902
Current time:05:15:13 users_left:789 current_user:53482242
Current time:05:15:14 users_left:788 current_user:2246008254
Current time:05:15:14 users_left:787 current_user:1056348026
Current time:05:15:14 users_left:786 current_user:165798981
Current time:05:15:14 users_left:785 current_user:279931448
Current time:05:15:14 users_left:784 current_user:180363556
Current time:05:15:14 users_left:783 current_user:93464280
Current time:05:15:14 users_left:782 current_user:140036644
Current time:05:15:14 users_left:781 current_user:2194863589
Current time:05:15:14 users_left:780 current_user:467372384
Current time:05:15:14 users_left:779 current_user:809177366
Current time:05:15:14 users_left:778 current_user:1971418412
Current time:05:15:14 users_left:777 current_user:1108795442
Current time:05:15:14 users_left:776 current_user:1519090010
Current time:05:15:14 users_left:775 current_user:481861183
Current time:05:15:15 users_left:774 current_user:570681512
Current time:05:15:15 users_left:773 current_user:245851387
Current time:05:15:15 users_left:772 current_user:181190520
Current time:05:15:15 users_left:771 current_user:447088033
Current time:05:15:15 users_left:770 current_user:1173235802
Current time:05:15:15 users_left:769 current_user:521651090
Current time:05:15:15 users_left:768 current_user:1606174166
Current time:05:15:15 users_left:767 current_user:20931378
Current time:05:15:15 users_left:766 current_user:625726290
Current time:05:15:15 users_left:765 current_user:1408131793
Current time:05:15:15 users_left:764 current_user:338368717
Current time:05:15:15 users_left:763 current_user:300171777
Current time:05:15:15 users_left:762 current_user:994844220
Current time:05:15:15 users_left:761 current_user:1138477748
Current time:05:15:15 users_left:760 current_user:1083754532
Current time:05:15:15 users_left:759 current_user:1473618314
Current time:05:15:16 users_left:758 current_user:113470370
Current time:05:15:16 users_left:757 current_user:467808770
Current time:05:15:16 users_left:756 current_user:58536634
Current time:05:15:16 users_left:755 current_user:365145576
Current time:05:15:16 users_left:754 current_user:2173591403
Current time:05:15:16 users_left:753 current_user:109978840
Current time:05:15:16 users_left:752 current_user:97893908
Current time:05:15:16 users_left:751 current_user:881038512
Current time:05:15:16 users_left:750 current_user:220843195
Current time:05:15:16 users_left:749 current_user:193047199
SECONDS TO SLEEP: 909s
Time when to request again: 05:30:25
Current time:05:15:16 users_left:748 current_user:72056806
Current time:05:15:16 users_left:747 current_user:497871167
Current time:05:15:16 users_left:746 current_user:26866897
Current time:05:15:16 users_left:745 current_user:175476018
Current time:05:15:16 users_left:744 current_user:1572075511
Current time:05:15:16 users_left:743 current_user:1510246874
Current time:05:15:16 users_left:742 current_user:2220454628
Current time:05:15:17 users_left:741 current_user:1092520652
Current time:05:15:17 users_left:740 current_user:612077876
Current time:05:15:17 users_left:739 current_user:138875597
Current time:05:15:17 users_left:738 current_user:192475053
Current time:05:15:17 users_left:737 current_user:316997932
Current time:05:15:17 users_left:736 current_user:499970430
Current time:05:15:17 users_left:735 current_user:1034503693
Current time:05:15:17 users_left:734 current_user:1901794969
Current time:05:15:17 users_left:733 current_user:862852304
Current time:05:15:17 users_left:732 current_user:237186213
Current time:05:15:17 users_left:731 current_user:194594177
Current time:05:15:17 users_left:730 current_user:181952519
Current time:05:15:17 users_left:729 current_user:66695500
Current time:05:15:17 users_left:728 current_user:538630782
Current time:05:15:17 users_left:727 current_user:1854665370
Current time:05:15:18 users_left:726 current_user:27632331
Current time:05:15:18 users_left:725 current_user:43549746
Current time:05:15:18 users_left:724 current_user:55329302
Current time:05:15:18 users_left:723 current_user:583823020
Current time:05:15:18 users_left:721 current_user:333396112
Current time:05:15:18 users_left:721 current_user:185194271
Current time:05:15:18 users_left:720 current_user:541758285
Current time:05:15:18 users_left:719 current_user:1708083696
Current time:05:15:18 users_left:718 current_user:159074117
